BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,13183-9,White Elm IgG Ab [Units/volume] in Serum,Allergy,Allergy,769,k[IU]/L,kIU/L,,Ulmus americana Ab.IgG,ACnc,Pt,Ser,Qn,,Ser,,
,7407-0,White Hickory IgE Ab [Units/volume] in Serum,Allergy,Allergy,1020,k[IU]/L,kIU/L,,Carya tomentosa Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6281-0,White mulberry IgE Ab [Units/volume] in Serum,Allergy,Allergy,947,k[IU]/L,kIU/L,,Morus alba Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6189-5,White Oak IgE Ab [Units/volume] in Serum,Allergy,Allergy,717,k[IU]/L,kIU/L,,Quercus alba Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7291-8,Whole Egg IgE Ab [Units/volume] in Serum,Allergy,Allergy,891,k[IU]/L,kIU/L,,Egg whole Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6286-9,Wormwood IgE Ab [Units/volume] in Serum,Allergy,Allergy,1879,k[IU]/L,kIU/L,,Artemisia absinthium Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
Antibacterial susceptibility,,,,,,,,,,,,,,,,,
"The statistics for antibiotic susceptibility tests in the Top 2000 list are not as broadly based as most of the other test categories, because antibiotic susceptibilities were available from only one of our 3 sources. LOINC provides codes for antibiotic susceptibility testing based on method used. The four major categories are as follows:
     1) A general flavor that does not specify the method of testing used
     2) Minimum Inhibitory Concentrations (MIC)
     3) Kirby Bauer disc testing (KB) and
     4) Gradient strip (Epsilometer test)

The general flavor can be used to report results for any of the three more specific approaches assuming that the details regarding the method of testing is provided elsewhere in the result message or in other OBX segments.

Some of the antibiotics used to treat tuberculosis are also used to treat more common bacterial infections. LOINC provides specific codes for reporting antibiotic susceptibilities to slow growing Mycobacteria, such as M. tuberculosis, M. avium and M. intracellulare, and these codes should be used for reporting antibiotic susceptibilities for such bacteria. These codes can be identified by the phrase �slow growing mycobacteria� in the method part of the LOINC name. Antibiotic susceptibilities for fast growing mycobacteria can be reported under the same codes as any other bacteria.

Resistance in bacteria can also be detected via genetic tests, and such tests will also be found in the ABXBACT class. The names of some of these tests include only the name of the resistance gene being tested for to indicate that resistance gene is present in the bacteria, but not necessarily which bacteria it is. Older genetic tests may identify a resistance without including the gene name in the test name or one of the answers are older. In general, these older tests should be avoided. Examples of resistance gene tests:

     [LOINC: 75686-6] Bacterial carbapenemase resistance (bla(IMP)) gene [Presence] by Nucleic acid capture and probe detection in Positive blood culture
     [LOINC: 75684-1] Bacterial carbapenemase resistance (bla(NDM)) gene [Presence] by Nucleic acid capture and probe detection in Positive blood culture
     [LOINC: 72837-8] Bacterial vancomycin resistance (vanC1) gene [Presence] by Probe and target amplification method
     [LOINC: 72836-0] Bacterial vancomycin resistance (vanC2+vanC3) genes [Presence] by Probe and target amplification method

NOTE: Labs sometimes use the code for ""other antibiotics� (Component: Antibiotic XXX) to report infrequently tested antibiotics.  We urge laboratories to use a specific code that names a particular antibiotic and avoid the use of non-informative codes like ""other antibiotics"".",,,,,,,,,,,,,,,,,
,13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,MICRO,Antibacterial susceptibility,146,,,,Staphylococcus aureus.methicillin resistant isolate,ACnc,Pt,XXX,Ord,Organism specific culture,Any,MSRA,
,18860-7,Amikacin [Susceptibility],ABXBACT,Antibacterial susceptibility,414,,,,Amikacin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18862-3,Amoxicillin+Clavulanate [Susceptibility],ABXBACT,Antibacterial susceptibility,549,,,,Amoxicillin+Clavulanate,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18864-9,Ampicillin [Susceptibility],ABXBACT,Antibacterial susceptibility,331,,,,Ampicillin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18865-6,Ampicillin+Sulbactam [Susceptibility],ABXBACT,Antibacterial susceptibility,330,,,,Ampicillin+Sulbactam,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18868-0,Aztreonam [Susceptibility],ABXBACT,Antibacterial susceptibility,454,,,,Aztreonam,Susc,Pt,Isolate,OrdQn,,Isolate,,
,42803-7,Bacteria identified in Isolate,MICRO,Antibacterial susceptibility,1461,,,,Bacteria identified,Prid,Pt,Isolate,Nom,,Isolate,,
,18878-9,Cefazolin [Susceptibility],ABXBACT,Antibacterial susceptibility,305,,,,Cefazolin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18879-7,Cefepime [Susceptibility],ABXBACT,Antibacterial susceptibility,380,,,,Cefepime,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18886-2,Cefotaxime [Susceptibility],ABXBACT,Antibacterial susceptibility,404,,,,Cefotaxime,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18887-0,Cefotetan [Susceptibility],ABXBACT,Antibacterial susceptibility,488,,,,Cefotetan,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18893-8,Ceftazidime [Susceptibility],ABXBACT,Antibacterial susceptibility,360,,,,Ceftazidime,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18895-3,Ceftriaxone [Susceptibility],ABXBACT,Antibacterial susceptibility,388,,,,Ceftriaxone,Susc,Pt,Isolate,OrdQn,,Isolate,Ceftriaxone,
,6998-9,Ceftriaxone [Susceptibility] by Gradient strip,ABXBACT,Antibacterial susceptibility,1728,,,,Ceftriaxone,Susc,Pt,Isolate,OrdQn,Gradient strip,Isolate,Ceftriaxone,
,51724-3,Cefuroxime [Susceptibility],ABXBACT,Antibacterial susceptibility,837,,,,Cefuroxime,Susc,Pt,Isolate,OrdQn,,Isolate,,
,20460-2,Cefuroxime Oral [Susceptibility] by Minimum inhibitory concentration (MIC),ABXBACT,Antibacterial susceptibility,895,,,,Cefuroxime.oral,Susc,Pt,Isolate,OrdQn,MIC,Isolate,,
,18903-5,Chloramphenicol [Susceptibility],ABXBACT,Antibacterial susceptibility,1893,,,,Chloramphenicol,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18906-8,Ciprofloxacin [Susceptibility],ABXBACT,Antibacterial susceptibility,317,,,,Ciprofloxacin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18908-4,Clindamycin [Susceptibility],ABXBACT,Antibacterial susceptibility,444,,,,Clindamycin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,33333-6,Colistin [Susceptibility] by Gradient strip,ABXBACT,Antibacterial susceptibility,1358,,,,Colistin,Susc,Pt,Isolate,OrdQn,Gradient strip,Isolate,,
,35789-7,Daptomycin [Susceptibility],ABXBACT,Antibacterial susceptibility,1291,,,,Daptomycin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18919-1,Erythromycin [Susceptibility],ABXBACT,Antibacterial susceptibility,434,,,,Erythromycin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,31036-7,Gatifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),ABXBACT,Antibacterial susceptibility,1719,,,,Gatifloxacin,Susc,Pt,Isolate,OrdQn,MIC,Isolate,,
,18928-2,Gentamicin [Susceptibility],ABXBACT,Antibacterial susceptibility,265,,,,Gentamicin,Susc,Pt,Isolate,OrdQn,,Isolate,Gentamicin,
,18929-0,Gentamicin.high potency [Susceptibility],ABXBACT,Antibacterial susceptibility,858,,,,Gentamicin.high potency,Susc,Pt,Isolate,OrdQn,,Isolate,Gentamicin,
,18932-4,Imipenem [Susceptibility],ABXBACT,Antibacterial susceptibility,372,,,,Imipenem,Susc,Pt,Isolate,OrdQn,,Isolate,,
,20629-2,Levofloxacin [Susceptibility],ABXBACT,Antibacterial susceptibility,300,,,,Levofloxacin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,33332-8,Linezolid [Susceptibility] by Gradient strip,ABXBACT,Antibacterial susceptibility,1262,,,,Linezolid,Susc,Pt,Isolate,OrdQn,Gradient strip,Isolate,,
,18943-1,Meropenem [Susceptibility],ABXBACT,Antibacterial susceptibility,373,,,,Meropenem,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18955-5,Nitrofurantoin [Susceptibility],ABXBACT,Antibacterial susceptibility,336,,,,Nitrofurantoin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,23658-8,Other Antibiotic [Susceptibility],ABXBACT,Antibacterial susceptibility,123,,,"Labs sometimes use the code for ""other antibiotics"". It is typically used by laboratories to report infrequently tested antibiotics.  We urge laboratories to use a specific code that names a particular antibiotic and avoid the use of non-informative codes like ""other antibiotics"".",Antibiotic XXX,Susc,Pt,Isolate,OrdQn,,Isolate,Other Antibiotic Susceptibility,
,18961-3,Oxacillin [Susceptibility],ABXBACT,Antibacterial susceptibility,419,,,,Oxacillin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18964-7,Penicillin [Susceptibility],ABXBACT,Antibacterial susceptibility,453,,,,Penicillin,Susc,Pt,Isolate,OrdQn,,Isolate,Penicillin,
,23925-1,Penicillin [Susceptibility] by Gradient strip,ABXBACT,Antibacterial susceptibility,1641,,,,Penicillin,Susc,Pt,Isolate,OrdQn,Gradient strip,Isolate,Penicillin,
,18965-4,Penicillin G [Susceptibility],ABXBACT,Antibacterial susceptibility,551,,,,Penicillin G,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18969-6,Piperacillin [Susceptibility],ABXBACT,Antibacterial susceptibility,411,,,,Piperacillin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18970-4,Piperacillin+Tazobactam [Susceptibility],ABXBACT,Antibacterial susceptibility,361,,,,Piperacillin+Tazobactam,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18974-6,Rifampin [Susceptibility],ABXBACT,Antibacterial susceptibility,616,,,,Rifampin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18983-7,Streptomycin.high potency [Susceptibility],ABXBACT,Antibacterial susceptibility,879,,,,Streptomycin.high potency,Susc,Pt,Isolate,OrdQn,,Isolate,Strep High Potency Susceptibility,
,18993-6,Tetracycline [Susceptibility],ABXBACT,Antibacterial susceptibility,393,,,,Tetracycline,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18996-9,Tobramycin [Susceptibility],ABXBACT,Antibacterial susceptibility,396,,,,Tobramycin,Susc,Pt,Isolate,OrdQn,,Isolate,,
,18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],ABXBACT,Antibacterial susceptibility,253,,,,Trimethoprim+Sulfamethoxazole,Susc,Pt,Isolate,OrdQn,,Isolate,,
,19000-9,Vancomycin [Susceptibility],ABXBACT,Antibacterial susceptibility,350,,,,Vancomycin,Susc,Pt,Isolate,OrdQn,,Isolate,Vancomycin,
,7059-9,Vancomycin [Susceptibility] by Gradient strip,ABXBACT,Antibacterial susceptibility,1907,,,,Vancomycin,Susc,Pt,Isolate,OrdQn,Gradient strip,Isolate,Vancomycin,
,35492-8,Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] by Probe & target amplification method,ABXBACT,Antibacterial susceptibility,406,,,,Staphylococcus aureus.methicillin resistant DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,XXX,,
Antiviral susceptibility,,,,,,,,,,,,,,,,,
"If these most frequently reported tests from the original Top 2000+ (or the new ones we added in version 1.4) do not satisfy your requirements, you can find a variety of other HIV susceptibility tests in the full LOINC database.

Be aware of the two major styles of reporting viral susceptibilities, and the fact that in general, styles used to report viral mutations are quite inconsistent across and (sometimes) within viral species. One is often described as phenotypic susceptibility. These approaches are like standard bacterial susceptibilities in that they report the degree to which a given antiviral suppresses the growth of the virus in some biologic system. The other is called genotypic susceptibility. This approach examines the genes in the virus, in some cases looking for specific mutations that signal resistance to one or more antiviral drugs, and other cases sequencing much or all of the virus genome to find all of the mutations that might increase resistance. Newer methods may report specific mutations, but they did not make the Top 2000+.",,,,,,,,,,,,,,,,,
,49573-9,HIV genotype [Susceptibility] in Isolate by Genotype method Narrative,ABXBACT,Antiviral susceptibility,1188,,,,HIV genotype,Susc,Pt,Isolate,Nar,Genotyping,Isolate,,
,33630-5,HIV protease gene mutations detected [Identifier] in Isolate,ABXBACT,Antiviral susceptibility,1775,,,,HIV protease gene mutations detected,Prid,Pt,Isolate,Nom,,Isolate,,
,23641-4,Quinupristin+Dalfopristin [Susceptibility] by Minimum inhibitory concentration (MIC),ABXBACT,Antiviral susceptibility,623,,,,Quinupristin+Dalfopristin,Susc,Pt,Isolate,OrdQn,MIC,Isolate,,
Blood bank,,,,,,,,,,,,,,,,,
,46268-9,ABO & Rh group [Type] in Blood from Blood product unit--after transfusion reaction,BLDBK,Blood bank,1839,,,,ABO+Rh group^post transfusion reaction,Type,Pt,Bld^BPU,Nom,,^BPU,,
,14578-9,ABO group [Type] in Blood from Blood product unit,BLDBK,Blood bank,354,,,,ABO group,Type,Pt,Bld^BPU,Nom,,^BPU,,
,49540-8,Acid citrate dextrose [Volume] in Blood product unit,BLDBK,Blood bank,1354,mL,mL,,Acid citrate dextrose,Vol,Pt,^BPU,Qn,,^BPU,,
,14604-3,Blood group antibodies present [Identifier] in Serum or Plasma from Blood product unit,BLDBK,Blood bank,851,,,,Blood group antibodies present,Prid,Pt,Ser/Plas^BPU,Nom,,^BPU,,
,925-8,Blood product disposition [Type],BLDBK,Blood bank,144,,,,Blood product disposition,Type,Pt,^BPU,Nom,,^BPU,,
,931-6,Blood product source [Type],BLDBK,Blood bank,983,,,,Blood product source,Type,Pt,^BPU,Nom,,^BPU,,
,933-2,Blood product type,BLDBK,Blood bank,185,,,,Blood product type,Type,Pt,^BPU,Nom,,^BPU,,
,936-5,Blood product unit [Identifier],BLDBK,Blood bank,1431,,,,Blood product unit identifier,ID,Pt,^BPU,Nom,,^BPU,,
,934-0,Blood product unit ID [#],BLDBK,Blood bank,168,,,,Blood product unit ID,Num,Pt,Dose,Qn,,^BPU,,
,14907-0,Rh [Type] in Blood from Blood product unit,BLDBK,Blood bank,355,,,,Rh,Type,Pt,Bld^BPU,Nom,,^BPU,,
,10386-1,Albumin given [Volume],BLDBK,Blood bank,1754,mL,mL,,Albumin given,Vol,Pt,^Patient,Qn,,^Patient,,
,19066-0,Blood bank comment,BLDBK,Blood bank,538,,,,Blood bank comment,Imp,Pt,^Patient,Nom,,^Patient,,
,49542-4,Date and time of pheresis procedure,BLDBK,Blood bank,1303,,,,Date and time of pheresis procedure,TmStp,Pt,^Patient,Qn,,^Patient,,
,882-1,ABO & Rh group [Type] in Blood,BLDBK,Blood bank,169,,,,ABO+Rh group,Type,Pt,Bld,Nom,,Bld,,
,19057-9,ABO & Rh group [Type] in Blood from newborn,BLDBK,Blood bank,637,,,,ABO+Rh group,Type,Pt,Bld^newborn,Nom,,Bld,,
,883-9,ABO group [Type] in Blood,BLDBK,Blood bank,218,,,,ABO group,Type,Pt,Bld,Nom,,Bld,,
,1305-2,D Ag [Presence] in Blood,BLDBK,Blood bank,399,,,,D Ag,ACnc,Pt,Bld,Ord,,Bld,,
,14869-2,Pathologist review of Blood tests,BLDBK,Blood bank,1595,,,,Pathologist review,Imp,Pt,Bld,Nom,Pathologist comment,Bld,Pathologist,
,10331-7,Rh [Type] in Blood,BLDBK,Blood bank,255,,,,Rh,Type,Pt,Bld,Nom,,Bld,,
,51892-8,ABO group [Type] in Cord blood,BLDBK,Blood bank,1460,,,,ABO group,Type,Pt,BldCo,Nom,,BldCo,,
,14906-2,Rh [Type] in Cord blood,BLDBK,Blood bank,1452,,,,Rh,Type,Pt,BldCo,Nom,,BldCo,,
,1006-6,Direct antiglobulin test.IgG specific reagent [interpretation] on Red Blood Cells,BLDBK,Blood bank,422,,,,Direct antiglobulin test.IgG specific reagent,Imp,Pt,RBC,Nom,,RBC,,
,1007-4,Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells,BLDBK,Blood bank,1654,,,,Direct antiglobulin test.poly specific reagent,ACnc,Pt,RBC,Ord,,RBC,,
,888-8,Blood group antibodies identified in Serum or Plasma,BLDBK,Blood bank,1709,,,,Blood group antibodies identified,Prid,Pt,Ser/Plas,Nom,,Ser/Plas,,
,890-4,Blood group antibody screen [Presence] in Serum or Plasma,BLDBK,Blood bank,198,,,,Blood group antibody screen,ACnc,Pt,Ser/Plas,Ord,,Ser/Plas,,
,1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,BLDBK,Blood bank,227,,,,Indirect antiglobulin test.complement specific reagent,ACnc,Pt,Ser/Plas,Ord,,Ser/Plas,,
,1250-0,Major crossmatch [interpretation],BLDBK,Blood bank,247,,,,Major crossmatch,Imp,Pt,Ser/Plas,Nom,,Ser/Plas,,
,38168-1,Major crossmatch [interpretation] by Low ionic strenght saline (LISS),BLDBK,Blood bank,1925,,,,Major crossmatch,Imp,Pt,Ser/Plas,Nom,LISS,Ser/Plas,,
,50970-3,XXX blood group Ab [Titer] in Serum or Plasma by Antihuman globulin,BLDBK,Blood bank,1802,{titer},titer,,XXX blood group Ab,Titr,Pt,Ser/Plas,Qn,Antihuman globulin,Ser/Plas,,
Body measurements,,,,,,,,,,,,,,,,,
,8277-6,Body surface area,BDYSURF.ATOM,Body measurements,1951,m2,m2,,Body surface,Area,Pt,^Patient,Qn,,^Patient,Body Measurements,
,8310-5,Body temperature,BDYTMP.ATOM,Body measurements,138,Cel,Cel,,Body temperature,Temp,Pt,^Patient,Qn,,^Patient,Body Measurements,
,29463-7,Body weight,BDYWGT.ATOM,Body measurements,593,kg,kg,,Body weight,Mass,Pt,^Patient,Qn,,^Patient,Body Measurements,
,3141-9,Body weight Measured,BDYWGT.ATOM,Body measurements,1170,[lb_av],[lb_av],,Body weight,Mass,Pt,^Patient,Qn,Measured,^Patient,Body Measurements,
,8338-6,Body weight Measured --ante partum,BDYWGT.MOLEC,Body measurements,1164,[lb_av],lb_av,,Body weight^ante partum,Mass,Pt,^Patient,Qn,Measured,^Patient,Body Measurements,
Cell markers,,,,,,,,,,,,,,,,,
"Cell markers, including the cluster of differentiation (CD) and other special markers (more than 300 of them), are used to identify specific cell populations. At present these are mostly used in the diagnosis, classification, and management of immune deficiencies and hematologic malignancies. The most commonly measured cell marker is CD4, which identifies helper T-cells that are destroyed by HIV infections.

Flow cytometry identifies cells based on the presence of fluorescent tagged antibodies and physical characteristics (e.g., reflectivity) of the cells as they flow past sensors. An alternative, but less commonly used, method is to paint slices of tissue specimens with the same or analogous fluorescent antibodies and visualize the fluorescent signals under a microscope.

The plus after a cell marker name indicates that the marker is present on the cell. A minus indicates that it is absent. LOINC Components for cells with single markers typically do not include a plus or minus sign after the marker because flow cytometry labs do not report single CD marker-negative results. So when the single marker is reported, the plus is implied. For example, Cells.CD4 means Cells.CD4+, and Cells.CD3-CD8-CD57+ means cells that have the CD57 cell marker but do not have CD3 or CD8.

The mapping of cell marker test results to LOINC codes can be challenging for a number of reasons. Firstly, the same cell types can be named differently. For example, �T-cell CD4+� means the same thing as �Lymphocytes CD3+CD4+� and �T4 cells�. The presence of the CD45 marker defines the cell as a lymphocyte, the CD3 marker further defines it as a T lymphocyte, and the addition of CD4 specifies it as a helper T lymphocyte. However, most often the presence of the CD45 marker is not explicitly included in the name of a specific lymphocyte subpopulation, because, for example, its presence is implied by the presence of CD3 and CD4. This problem applies to many cell types because one lab may specify the base cell by name and another by the cell marker pattern that identifies that cell type.  Worse, in some cases the laboratories omit the name of the base cell type and report CD3+ CD4+ cells as �Cells CD4+� or �CD4 count�. In LOINC, we tend to identify cells by cell markers, often with the cell type as a synonym within parentheses. For example, [LOINC: 24467-3] CD3+CD4+ (T4 helper) cells [#/volume] in Blood�.

A second general problem is that flow cytometers have gating criteria which narrow the focus to one or a few cell types, and the gating criteria are not always clearly specified in the report. You can, however, safely assume that for tests for immunocompetence, the focus will be lymphocytes with gating based on the CD45+ marker and reflectance characteristics. Further, when reporting fractions in immunocompetence testing, the denominator will usually be total lymphocytes. In general, LOINC terms for immunocompetence testing use �100 cells� as the divisor, which implies 100 lymphocytes. When more specific cell populations are used for gating, such as T-cells or some other cell type, we will usually be more explicit in the denominator. Tests for cell markers in patients with hematologic malignancies such as leukemia and lymphoma may focus on very specific cell types and use more cell markers, the details of which will be included in the LOINC Component. For example, the Component of [LOINC: 73810-4] is Cells.CD3-CD16+CD56+HLA-DR+/100 cells.CD3-CD16+CD56+.",,,,,,,,,,,,,,,,,
,20402-4,CD16+CD56+ cells [#/volume] in Blood,CELLMARK,Cell markers,1410,{#}/uL,#/uL,,Cells.CD16+CD56+,NCnc,Pt,Bld,Qn,,Bld,,
,18267-5,CD16+CD56+ cells/100 cells in Blood,CELLMARK,Cell markers,1406,%,%,,Cells.CD16+CD56+/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,8116-6,CD19 cells [#/volume] in Blood,CELLMARK,Cell markers,1127,{#}/uL,#/uL,B-cells,Cells.CD19,NCnc,Pt,Bld,Qn,,Bld,,
,8117-4,CD19 cells/100 cells in Blood,CELLMARK,Cell markers,868,%,%,B-cells,Cells.CD19/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,17122-3,CD19+Kappa+ cells/100 cells in Blood,CELLMARK,Cell markers,1612,%,%,,Cells.CD19+Kappa+/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,17123-1,CD19+Lambda+ cells/100 cells in Blood,CELLMARK,Cell markers,1634,%,%,,Cells.CD19+Lambda+/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,9557-0,CD2 cells [#/volume] in Blood,CELLMARK,Cell markers,1547,{#}/uL,#/uL,,Cells.CD2,NCnc,Pt,Bld,Qn,,Bld,,
,8118-2,CD2 cells/100 cells in Blood,CELLMARK,Cell markers,1523,%,%,,Cells.CD2/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,8122-4,CD3 cells [#/volume] in Blood,CELLMARK,Cell markers,427,{#}/uL,#/uL,T-cells all kind,Cells.CD3,NCnc,Pt,Bld,Qn,,Bld,,
,8124-0,CD3 cells/100 cells in Blood,CELLMARK,Cell markers,383,%,%,T-cells all kind,Cells.CD3/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,CELLMARK,Cell markers,515,{#}/uL,#/uL,CD3 as well as CD4 required to identify CD4 T-cells (CD4 helper cell),Cells.CD3+CD4+,NCnc,Pt,Bld,Qn,,Bld,,
,8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood,CELLMARK,Cell markers,377,%,%,CD3 as well as CD4 required to identify CD4 T-cells (CD4 helper cell),Cells.CD3+CD4+/100 cells,NFr,Pt,Bld,Qn,,Bld,,
,54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,CELLMARK,Cell markers,362,%,%,Need CD3 as well as CD4 and CD3 as well as CD8 to accurately identify ratio of CD4 T cell to CD8 T cell,Cells.CD3+CD4+/Cells.CD3+CD8+,NRto,Pt,Bld,Qn,,Bld,,
,14135-8,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood,CELLMARK,Cell markers,441,{#}/uL,#/uL,CD3 as well as CD4 required to identify CD4 T-cells (CD4 helper cell),Cells.CD3+CD8+,NCnc,Pt,Bld,Qn,,Bld,,
